Date,City,ShelterType,Capacity,Overnight
4/1/2013,Calgary,Adult Emergency,725,700
4/1/2013,Calgary,Adult Emergency,125,117
4/1/2013,Calgary,Adult Emergency,23,12
4/1/2013,Calgary,Adult Emergency,159,159
4/1/2013,Calgary,Adult Emergency,370,300
4/1/2013,Calgary,Women Emergency,6,6
4/1/2013,Calgary,Family Emergency,120,84
4/1/2013,Calgary,Family Emergency,60,59
4/2/2013,Calgary,Adult Emergency,725,700
4/2/2013,Calgary,Adult Emergency,125,125
4/2/2013,Calgary,Adult Emergency,23,12
4/2/2013,Calgary,Adult Emergency,159,159
4/2/2013,Calgary,Adult Emergency,370,300
4/2/2013,Calgary,Women Emergency,6,6
4/2/2013,Calgary,Family Emergency,120,72
4/2/2013,Calgary,Family Emergency,60,59
4/3/2013,Calgary,Adult Emergency,725,700
4/3/2013,Calgary,Adult Emergency,125,125
4/3/2013,Calgary,Adult Emergency,23,11
4/3/2013,Calgary,Adult Emergency,159,159
4/3/2013,Calgary,Adult Emergency,370,300
4/3/2013,Calgary,Women Emergency,6,6
4/3/2013,Calgary,Family Emergency,120,84
4/3/2013,Calgary,Family Emergency,60,53
4/4/2013,Calgary,Adult Emergency,725,700
4/4/2013,Calgary,Adult Emergency,125,125
4/4/2013,Calgary,Adult Emergency,23,11
4/4/2013,Calgary,Adult Emergency,159,159
4/4/2013,Calgary,Adult Emergency,370,300
4/4/2013,Calgary,Women Emergency,6,6
4/4/2013,Calgary,Family Emergency,120,79
4/4/2013,Calgary,Family Emergency,60,57
4/5/2013,Calgary,Adult Emergency,725,700
4/5/2013,Calgary,Adult Emergency,125,117
4/5/2013,Calgary,Adult Emergency,23,12
4/5/2013,Calgary,Adult Emergency,159,159
4/5/2013,Calgary,Adult Emergency,370,300
4/5/2013,Calgary,Women Emergency,6,6
4/5/2013,Calgary,Family Emergency,120,86
4/5/2013,Calgary,Family Emergency,60,57
4/6/2013,Calgary,Adult Emergency,725,700
4/6/2013,Calgary,Adult Emergency,125,125
4/6/2013,Calgary,Adult Emergency,23,11
4/6/2013,Calgary,Adult Emergency,159,159
4/6/2013,Calgary,Adult Emergency,370,300
4/6/2013,Calgary,Women Emergency,6,6
4/6/2013,Calgary,Family Emergency,120,70
4/6/2013,Calgary,Family Emergency,60,59
4/7/2013,Calgary,Adult Emergency,725,700
4/7/2013,Calgary,Adult Emergency,125,126
4/7/2013,Calgary,Adult Emergency,23,10
4/7/2013,Calgary,Adult Emergency,159,159
4/7/2013,Calgary,Adult Emergency,370,300
4/7/2013,Calgary,Women Emergency,6,6
4/7/2013,Calgary,Family Emergency,120,97
4/7/2013,Calgary,Family Emergency,60,57
4/8/2013,Calgary,Adult Emergency,725,700
4/8/2013,Calgary,Adult Emergency,125,126
4/8/2013,Calgary,Adult Emergency,23,11
4/8/2013,Calgary,Adult Emergency,159,159
4/8/2013,Calgary,Adult Emergency,370,300
4/8/2013,Calgary,Women Emergency,6,6
4/8/2013,Calgary,Family Emergency,120,92
4/8/2013,Calgary,Family Emergency,60,56
4/9/2013,Calgary,Adult Emergency,725,700
4/9/2013,Calgary,Adult Emergency,125,125
4/9/2013,Calgary,Adult Emergency,23,11
4/9/2013,Calgary,Adult Emergency,159,159
4/9/2013,Calgary,Adult Emergency,370,300
4/9/2013,Calgary,Women Emergency,6,6
4/9/2013,Calgary,Family Emergency,120,94
4/9/2013,Calgary,Family Emergency,60,56
4/10/2013,Calgary,Adult Emergency,725,700
4/10/2013,Calgary,Adult Emergency,125,116
4/10/2013,Calgary,Adult Emergency,23,12
4/10/2013,Calgary,Adult Emergency,159,159
4/10/2013,Calgary,Adult Emergency,370,300
4/10/2013,Calgary,Women Emergency,6,6
4/10/2013,Calgary,Family Emergency,120,75
4/10/2013,Calgary,Family Emergency,60,56
4/11/2013,Calgary,Adult Emergency,725,700
4/11/2013,Calgary,Adult Emergency,125,126
4/11/2013,Calgary,Adult Emergency,23,11
4/11/2013,Calgary,Adult Emergency,159,159
4/11/2013,Calgary,Adult Emergency,370,300
4/11/2013,Calgary,Women Emergency,6,6
4/11/2013,Calgary,Family Emergency,120,100
4/11/2013,Calgary,Family Emergency,60,56
4/12/2013,Calgary,Adult Emergency,725,700
4/12/2013,Calgary,Adult Emergency,125,122
4/12/2013,Calgary,Adult Emergency,23,11
4/12/2013,Calgary,Adult Emergency,159,159
4/12/2013,Calgary,Adult Emergency,370,300
4/12/2013,Calgary,Women Emergency,6,6
4/12/2013,Calgary,Family Emergency,120,100
4/12/2013,Calgary,Family Emergency,60,56
4/13/2013,Calgary,Adult Emergency,725,700
4/13/2013,Calgary,Adult Emergency,125,123
4/13/2013,Calgary,Adult Emergency,23,12
4/13/2013,Calgary,Adult Emergency,159,159
4/13/2013,Calgary,Adult Emergency,370,300
4/13/2013,Calgary,Women Emergency,6,6
4/13/2013,Calgary,Family Emergency,120,84
4/13/2013,Calgary,Family Emergency,60,56
4/14/2013,Calgary,Adult Emergency,725,700
4/14/2013,Calgary,Adult Emergency,125,123
4/14/2013,Calgary,Adult Emergency,23,11
4/14/2013,Calgary,Adult Emergency,159,159
4/14/2013,Calgary,Adult Emergency,370,300
4/14/2013,Calgary,Women Emergency,6,6
4/14/2013,Calgary,Family Emergency,120,102
4/14/2013,Calgary,Family Emergency,60,56
4/15/2013,Calgary,Adult Emergency,725,700
4/15/2013,Calgary,Adult Emergency,125,125
4/15/2013,Calgary,Adult Emergency,23,12
4/15/2013,Calgary,Adult Emergency,159,159
4/15/2013,Calgary,Adult Emergency,370,300
4/15/2013,Calgary,Women Emergency,6,6
4/15/2013,Calgary,Family Emergency,120,108
4/15/2013,Calgary,Family Emergency,60,56
4/16/2013,Calgary,Adult Emergency,725,700
4/16/2013,Calgary,Adult Emergency,125,127
4/16/2013,Calgary,Adult Emergency,23,12
4/16/2013,Calgary,Adult Emergency,159,159
4/16/2013,Calgary,Adult Emergency,370,300
4/16/2013,Calgary,Women Emergency,6,6
4/16/2013,Calgary,Family Emergency,120,109
4/16/2013,Calgary,Family Emergency,60,55
4/17/2013,Calgary,Adult Emergency,725,700
4/17/2013,Calgary,Adult Emergency,125,125
4/17/2013,Calgary,Adult Emergency,23,12
4/17/2013,Calgary,Adult Emergency,159,159
4/17/2013,Calgary,Adult Emergency,370,300
4/17/2013,Calgary,Women Emergency,6,6
4/17/2013,Calgary,Family Emergency,120,99
4/17/2013,Calgary,Family Emergency,60,58
4/18/2013,Calgary,Adult Emergency,725,700
4/18/2013,Calgary,Adult Emergency,125,124
4/18/2013,Calgary,Adult Emergency,23,12
4/18/2013,Calgary,Adult Emergency,159,159
4/18/2013,Calgary,Adult Emergency,370,300
4/18/2013,Calgary,Women Emergency,6,6
4/18/2013,Calgary,Family Emergency,120,79
4/18/2013,Calgary,Family Emergency,60,58
4/19/2013,Calgary,Adult Emergency,725,700
4/19/2013,Calgary,Adult Emergency,125,103
4/19/2013,Calgary,Adult Emergency,23,11
4/19/2013,Calgary,Adult Emergency,159,159
4/19/2013,Calgary,Adult Emergency,370,300
4/19/2013,Calgary,Women Emergency,6,6
4/19/2013,Calgary,Family Emergency,120,79
4/19/2013,Calgary,Family Emergency,60,58
4/20/2013,Calgary,Adult Emergency,725,700
4/20/2013,Calgary,Adult Emergency,125,111
4/20/2013,Calgary,Adult Emergency,23,11
4/20/2013,Calgary,Adult Emergency,159,159
4/20/2013,Calgary,Adult Emergency,370,300
4/20/2013,Calgary,Women Emergency,6,6
4/20/2013,Calgary,Family Emergency,120,80
4/20/2013,Calgary,Family Emergency,60,58
4/21/2013,Calgary,Adult Emergency,725,700
4/21/2013,Calgary,Adult Emergency,125,125
4/21/2013,Calgary,Adult Emergency,23,9
4/21/2013,Calgary,Adult Emergency,159,159
4/21/2013,Calgary,Adult Emergency,370,300
4/21/2013,Calgary,Women Emergency,6,6
4/21/2013,Calgary,Family Emergency,120,86
4/21/2013,Calgary,Family Emergency,60,58
4/22/2013,Calgary,Adult Emergency,725,700
4/22/2013,Calgary,Adult Emergency,125,125
4/22/2013,Calgary,Adult Emergency,23,10
4/22/2013,Calgary,Adult Emergency,159,159
4/22/2013,Calgary,Adult Emergency,370,300
4/22/2013,Calgary,Women Emergency,6,6
4/22/2013,Calgary,Family Emergency,120,89
4/22/2013,Calgary,Family Emergency,60,58
4/23/2013,Calgary,Adult Emergency,725,700
4/23/2013,Calgary,Adult Emergency,125,124
4/23/2013,Calgary,Adult Emergency,23,12
4/23/2013,Calgary,Adult Emergency,159,159
4/23/2013,Calgary,Adult Emergency,370,300
4/23/2013,Calgary,Women Emergency,6,6
4/23/2013,Calgary,Family Emergency,120,89
4/23/2013,Calgary,Family Emergency,60,58
4/24/2013,Calgary,Adult Emergency,725,700
4/24/2013,Calgary,Adult Emergency,125,125
4/24/2013,Calgary,Adult Emergency,23,12
4/24/2013,Calgary,Adult Emergency,159,159
4/24/2013,Calgary,Adult Emergency,370,300
4/24/2013,Calgary,Women Emergency,6,6
4/24/2013,Calgary,Family Emergency,120,97
4/24/2013,Calgary,Family Emergency,60,58
4/25/2013,Calgary,Adult Emergency,725,651
4/25/2013,Calgary,Adult Emergency,125,115
4/25/2013,Calgary,Adult Emergency,23,12
4/25/2013,Calgary,Adult Emergency,159,159
4/25/2013,Calgary,Adult Emergency,370,279
4/25/2013,Calgary,Women Emergency,6,6
4/25/2013,Calgary,Family Emergency,120,92
4/25/2013,Calgary,Family Emergency,60,58
4/26/2013,Calgary,Adult Emergency,725,582
4/26/2013,Calgary,Adult Emergency,125,90
4/26/2013,Calgary,Adult Emergency,23,11
4/26/2013,Calgary,Adult Emergency,159,159
4/26/2013,Calgary,Adult Emergency,370,271
4/26/2013,Calgary,Women Emergency,6,6
4/26/2013,Calgary,Family Emergency,120,81
4/26/2013,Calgary,Family Emergency,60,58
4/27/2013,Calgary,Adult Emergency,725,667
4/27/2013,Calgary,Adult Emergency,125,98
4/27/2013,Calgary,Adult Emergency,23,11
4/27/2013,Calgary,Adult Emergency,159,159
4/27/2013,Calgary,Adult Emergency,370,278
4/27/2013,Calgary,Women Emergency,6,6
4/27/2013,Calgary,Family Emergency,120,75
4/27/2013,Calgary,Family Emergency,60,58
4/28/2013,Calgary,Adult Emergency,725,700
4/28/2013,Calgary,Adult Emergency,125,116
4/28/2013,Calgary,Adult Emergency,23,11
4/28/2013,Calgary,Adult Emergency,159,159
4/28/2013,Calgary,Adult Emergency,370,300
4/28/2013,Calgary,Women Emergency,6,6
4/28/2013,Calgary,Family Emergency,120,81
4/28/2013,Calgary,Family Emergency,60,58
4/29/2013,Calgary,Adult Emergency,725,700
4/29/2013,Calgary,Adult Emergency,125,121
4/29/2013,Calgary,Adult Emergency,23,12
4/29/2013,Calgary,Adult Emergency,159,159
4/29/2013,Calgary,Adult Emergency,370,300
4/29/2013,Calgary,Women Emergency,6,6
4/29/2013,Calgary,Family Emergency,120,81
4/29/2013,Calgary,Family Emergency,60,58
4/30/2013,Calgary,Adult Emergency,725,700
4/30/2013,Calgary,Adult Emergency,125,117
4/30/2013,Calgary,Adult Emergency,23,12
4/30/2013,Calgary,Adult Emergency,159,159
4/30/2013,Calgary,Adult Emergency,370,300
4/30/2013,Calgary,Women Emergency,6,6
4/30/2013,Calgary,Family Emergency,120,104
4/30/2013,Calgary,Family Emergency,60,58
5/1/2013,Calgary,Adult Emergency,725,700
5/1/2013,Calgary,Adult Emergency,125,120
5/1/2013,Calgary,Adult Emergency,23,12
5/1/2013,Calgary,Adult Emergency,159,159
5/1/2013,Calgary,Adult Emergency,370,339
5/1/2013,Calgary,Women Emergency,6,6
5/1/2013,Calgary,Family Emergency,120,91
5/1/2013,Calgary,Family Emergency,60,52
5/2/2013,Calgary,Adult Emergency,725,700
5/2/2013,Calgary,Adult Emergency,125,116
5/2/2013,Calgary,Adult Emergency,23,12
5/2/2013,Calgary,Adult Emergency,159,159
5/2/2013,Calgary,Adult Emergency,370,321
5/2/2013,Calgary,Women Emergency,6,6
5/2/2013,Calgary,Family Emergency,120,91
5/2/2013,Calgary,Family Emergency,60,56
5/3/2013,Calgary,Adult Emergency,725,687
5/3/2013,Calgary,Adult Emergency,125,107
5/3/2013,Calgary,Adult Emergency,23,11
5/3/2013,Calgary,Adult Emergency,159,159
5/3/2013,Calgary,Adult Emergency,370,298
5/3/2013,Calgary,Women Emergency,6,6
5/3/2013,Calgary,Family Emergency,120,78
5/3/2013,Calgary,Family Emergency,60,52
5/4/2013,Calgary,Adult Emergency,725,655
5/4/2013,Calgary,Adult Emergency,125,105
5/4/2013,Calgary,Adult Emergency,23,12
5/4/2013,Calgary,Adult Emergency,159,159
5/4/2013,Calgary,Adult Emergency,370,301
5/4/2013,Calgary,Women Emergency,6,6
5/4/2013,Calgary,Family Emergency,120,77
5/4/2013,Calgary,Family Emergency,60,52
5/5/2013,Calgary,Adult Emergency,725,700
5/5/2013,Calgary,Adult Emergency,125,109
5/5/2013,Calgary,Adult Emergency,23,11
5/5/2013,Calgary,Adult Emergency,159,159
5/5/2013,Calgary,Adult Emergency,370,331
5/5/2013,Calgary,Women Emergency,6,6
5/5/2013,Calgary,Family Emergency,120,86
5/5/2013,Calgary,Family Emergency,60,52
5/6/2013,Calgary,Adult Emergency,725,700
5/6/2013,Calgary,Adult Emergency,125,118
5/6/2013,Calgary,Adult Emergency,23,12
5/6/2013,Calgary,Adult Emergency,159,159
5/6/2013,Calgary,Adult Emergency,370,359
5/6/2013,Calgary,Women Emergency,6,6
5/6/2013,Calgary,Family Emergency,120,97
5/6/2013,Calgary,Family Emergency,60,55
5/7/2013,Calgary,Adult Emergency,725,700
5/7/2013,Calgary,Adult Emergency,125,126
5/7/2013,Calgary,Adult Emergency,23,12
5/7/2013,Calgary,Adult Emergency,159,159
5/7/2013,Calgary,Adult Emergency,370,360
5/7/2013,Calgary,Women Emergency,6,6
5/7/2013,Calgary,Family Emergency,120,84
5/7/2013,Calgary,Family Emergency,60,56
5/8/2013,Calgary,Adult Emergency,725,700
5/8/2013,Calgary,Adult Emergency,125,117
5/8/2013,Calgary,Adult Emergency,23,12
5/8/2013,Calgary,Adult Emergency,159,159
5/8/2013,Calgary,Adult Emergency,370,358
5/8/2013,Calgary,Women Emergency,6,6
5/8/2013,Calgary,Family Emergency,120,86
5/8/2013,Calgary,Family Emergency,60,56
5/9/2013,Calgary,Adult Emergency,725,688
5/9/2013,Calgary,Adult Emergency,125,115
5/9/2013,Calgary,Adult Emergency,23,12
5/9/2013,Calgary,Adult Emergency,159,159
5/9/2013,Calgary,Adult Emergency,370,328
5/9/2013,Calgary,Women Emergency,6,6
5/9/2013,Calgary,Family Emergency,120,87
5/9/2013,Calgary,Family Emergency,60,56
5/10/2013,Calgary,Adult Emergency,725,659
5/10/2013,Calgary,Adult Emergency,125,102
5/10/2013,Calgary,Adult Emergency,23,12
5/10/2013,Calgary,Adult Emergency,159,159
5/10/2013,Calgary,Adult Emergency,370,321
5/10/2013,Calgary,Women Emergency,6,6
5/10/2013,Calgary,Family Emergency,120,88
5/10/2013,Calgary,Family Emergency,60,54
5/11/2013,Calgary,Adult Emergency,725,675
5/11/2013,Calgary,Adult Emergency,125,102
5/11/2013,Calgary,Adult Emergency,23,12
5/11/2013,Calgary,Adult Emergency,159,159
5/11/2013,Calgary,Adult Emergency,370,298
5/11/2013,Calgary,Women Emergency,6,6
5/11/2013,Calgary,Family Emergency,120,67
5/11/2013,Calgary,Family Emergency,60,54
5/12/2013,Calgary,Adult Emergency,725,670
5/12/2013,Calgary,Adult Emergency,125,121
5/12/2013,Calgary,Adult Emergency,23,12
5/12/2013,Calgary,Adult Emergency,159,159
5/12/2013,Calgary,Adult Emergency,370,352
5/12/2013,Calgary,Women Emergency,6,6
5/12/2013,Calgary,Family Emergency,120,78
5/12/2013,Calgary,Family Emergency,60,54
5/13/2013,Calgary,Adult Emergency,725,700
5/13/2013,Calgary,Adult Emergency,125,116
5/13/2013,Calgary,Adult Emergency,23,12
5/13/2013,Calgary,Adult Emergency,159,159
5/13/2013,Calgary,Adult Emergency,370,354
5/13/2013,Calgary,Women Emergency,6,6
5/13/2013,Calgary,Family Emergency,120,101
5/13/2013,Calgary,Family Emergency,60,54
5/14/2013,Calgary,Adult Emergency,725,700
5/14/2013,Calgary,Adult Emergency,125,124
5/14/2013,Calgary,Adult Emergency,23,11
5/14/2013,Calgary,Adult Emergency,159,159
5/14/2013,Calgary,Adult Emergency,370,354
5/14/2013,Calgary,Women Emergency,6,6
5/14/2013,Calgary,Family Emergency,120,106
5/14/2013,Calgary,Family Emergency,60,54
5/15/2013,Calgary,Adult Emergency,725,700
5/15/2013,Calgary,Adult Emergency,125,125
5/15/2013,Calgary,Adult Emergency,23,12
5/15/2013,Calgary,Adult Emergency,159,159
5/15/2013,Calgary,Adult Emergency,370,371
5/15/2013,Calgary,Women Emergency,6,6
5/15/2013,Calgary,Family Emergency,120,108
5/15/2013,Calgary,Family Emergency,60,54
5/16/2013,Calgary,Adult Emergency,725,700
5/16/2013,Calgary,Adult Emergency,125,119
5/16/2013,Calgary,Adult Emergency,23,10
5/16/2013,Calgary,Adult Emergency,159,159
5/16/2013,Calgary,Adult Emergency,370,365
5/16/2013,Calgary,Women Emergency,6,6
5/16/2013,Calgary,Family Emergency,120,99
5/16/2013,Calgary,Family Emergency,60,54
5/17/2013,Calgary,Adult Emergency,725,661
5/17/2013,Calgary,Adult Emergency,125,108
5/17/2013,Calgary,Adult Emergency,23,11
5/17/2013,Calgary,Adult Emergency,159,159
5/17/2013,Calgary,Adult Emergency,370,316
5/17/2013,Calgary,Women Emergency,6,6
5/17/2013,Calgary,Family Emergency,120,91
5/17/2013,Calgary,Family Emergency,60,56
5/18/2013,Calgary,Adult Emergency,725,669
5/18/2013,Calgary,Adult Emergency,125,101
5/18/2013,Calgary,Adult Emergency,23,11
5/18/2013,Calgary,Adult Emergency,159,159
5/18/2013,Calgary,Adult Emergency,370,301
5/18/2013,Calgary,Women Emergency,6,6
5/18/2013,Calgary,Family Emergency,120,76
5/18/2013,Calgary,Family Emergency,60,56
5/19/2013,Calgary,Adult Emergency,725,700
5/19/2013,Calgary,Adult Emergency,125,114
5/19/2013,Calgary,Adult Emergency,23,12
5/19/2013,Calgary,Adult Emergency,159,159
5/19/2013,Calgary,Adult Emergency,370,342
5/19/2013,Calgary,Women Emergency,6,6
5/19/2013,Calgary,Family Emergency,120,87
5/19/2013,Calgary,Family Emergency,60,56
5/20/2013,Calgary,Adult Emergency,725,700
5/20/2013,Calgary,Adult Emergency,125,122
5/20/2013,Calgary,Adult Emergency,23,12
5/20/2013,Calgary,Adult Emergency,159,159
5/20/2013,Calgary,Adult Emergency,370,373
5/20/2013,Calgary,Women Emergency,6,6
5/20/2013,Calgary,Family Emergency,120,98
5/20/2013,Calgary,Family Emergency,60,56
5/21/2013,Calgary,Adult Emergency,725,700
5/21/2013,Calgary,Adult Emergency,125,126
5/21/2013,Calgary,Adult Emergency,23,12
5/21/2013,Calgary,Adult Emergency,159,159
5/21/2013,Calgary,Adult Emergency,370,355
5/21/2013,Calgary,Women Emergency,6,6
5/21/2013,Calgary,Family Emergency,120,96
5/21/2013,Calgary,Family Emergency,60,56
5/22/2013,Calgary,Adult Emergency,725,700
5/22/2013,Calgary,Adult Emergency,125,122
5/22/2013,Calgary,Adult Emergency,23,12
5/22/2013,Calgary,Adult Emergency,159,159
5/22/2013,Calgary,Adult Emergency,370,370
5/22/2013,Calgary,Women Emergency,6,6
5/22/2013,Calgary,Family Emergency,120,103
5/22/2013,Calgary,Family Emergency,60,56
5/23/2013,Calgary,Adult Emergency,725,700
5/23/2013,Calgary,Adult Emergency,125,126
5/23/2013,Calgary,Adult Emergency,23,12
5/23/2013,Calgary,Adult Emergency,159,159
5/23/2013,Calgary,Adult Emergency,370,375
5/23/2013,Calgary,Women Emergency,6,6
5/23/2013,Calgary,Family Emergency,120,106
5/23/2013,Calgary,Family Emergency,60,56
5/24/2013,Calgary,Adult Emergency,725,700
5/24/2013,Calgary,Adult Emergency,125,125
5/24/2013,Calgary,Adult Emergency,23,12
5/24/2013,Calgary,Adult Emergency,159,159
5/24/2013,Calgary,Adult Emergency,370,369
5/24/2013,Calgary,Women Emergency,6,6
5/24/2013,Calgary,Family Emergency,120,95
5/24/2013,Calgary,Family Emergency,60,56
5/25/2013,Calgary,Adult Emergency,725,700
5/25/2013,Calgary,Adult Emergency,125,118
5/25/2013,Calgary,Adult Emergency,23,11
5/25/2013,Calgary,Adult Emergency,159,159
5/25/2013,Calgary,Adult Emergency,370,353
5/25/2013,Calgary,Women Emergency,6,6
5/25/2013,Calgary,Family Emergency,120,93
5/25/2013,Calgary,Family Emergency,60,53
5/26/2013,Calgary,Adult Emergency,725,700
5/26/2013,Calgary,Adult Emergency,125,119
5/26/2013,Calgary,Adult Emergency,23,12
5/26/2013,Calgary,Adult Emergency,159,159
5/26/2013,Calgary,Adult Emergency,370,356
5/26/2013,Calgary,Women Emergency,6,6
5/26/2013,Calgary,Family Emergency,120,95
5/26/2013,Calgary,Family Emergency,60,56
5/27/2013,Calgary,Adult Emergency,725,700
5/27/2013,Calgary,Adult Emergency,125,112
5/27/2013,Calgary,Adult Emergency,23,12
5/27/2013,Calgary,Adult Emergency,159,159
5/27/2013,Calgary,Adult Emergency,370,358
5/27/2013,Calgary,Women Emergency,6,6
5/27/2013,Calgary,Family Emergency,120,107
5/27/2013,Calgary,Family Emergency,60,53
5/28/2013,Calgary,Adult Emergency,725,675
5/28/2013,Calgary,Adult Emergency,125,108
5/28/2013,Calgary,Adult Emergency,23,12
5/28/2013,Calgary,Adult Emergency,159,159
5/28/2013,Calgary,Adult Emergency,370,349
5/28/2013,Calgary,Women Emergency,6,6
5/28/2013,Calgary,Family Emergency,120,108
5/28/2013,Calgary,Family Emergency,60,55
5/29/2013,Calgary,Adult Emergency,725,688
5/29/2013,Calgary,Adult Emergency,125,110
5/29/2013,Calgary,Adult Emergency,23,12
5/29/2013,Calgary,Adult Emergency,159,159
5/29/2013,Calgary,Adult Emergency,370,339
5/29/2013,Calgary,Women Emergency,6,6
5/29/2013,Calgary,Family Emergency,120,97
5/29/2013,Calgary,Family Emergency,60,55
5/30/2013,Calgary,Adult Emergency,725,700
5/30/2013,Calgary,Adult Emergency,125,125
5/30/2013,Calgary,Adult Emergency,23,12
5/30/2013,Calgary,Adult Emergency,159,159
5/30/2013,Calgary,Adult Emergency,370,341
5/30/2013,Calgary,Women Emergency,6,6
5/30/2013,Calgary,Family Emergency,120,87
5/30/2013,Calgary,Family Emergency,60,49
5/31/2013,Calgary,Adult Emergency,725,700
5/31/2013,Calgary,Adult Emergency,125,88
5/31/2013,Calgary,Adult Emergency,23,12
5/31/2013,Calgary,Adult Emergency,159,159
5/31/2013,Calgary,Adult Emergency,370,316
5/31/2013,Calgary,Women Emergency,6,6
5/31/2013,Calgary,Family Emergency,120,69
5/31/2013,Calgary,Family Emergency,60,49
6/1/2013,Calgary,Adult Emergency,725,646
6/1/2013,Calgary,Adult Emergency,125,111
6/1/2013,Calgary,Adult Emergency,23,12
6/1/2013,Calgary,Adult Emergency,159,159
6/1/2013,Calgary,Adult Emergency,370,296
6/1/2013,Calgary,Women Emergency,6,6
6/1/2013,Calgary,Family Emergency,120,28
6/1/2013,Calgary,Family Emergency,60,44
6/2/2013,Calgary,Adult Emergency,725,673
6/2/2013,Calgary,Adult Emergency,125,124
6/2/2013,Calgary,Adult Emergency,23,12
6/2/2013,Calgary,Adult Emergency,159,159
6/2/2013,Calgary,Adult Emergency,370,370
6/2/2013,Calgary,Women Emergency,6,6
6/2/2013,Calgary,Family Emergency,120,29
6/2/2013,Calgary,Family Emergency,60,40
6/3/2013,Calgary,Adult Emergency,725,663
6/3/2013,Calgary,Adult Emergency,125,125
6/3/2013,Calgary,Adult Emergency,23,11
6/3/2013,Calgary,Adult Emergency,159,159
6/3/2013,Calgary,Adult Emergency,370,372
6/3/2013,Calgary,Women Emergency,6,6
6/3/2013,Calgary,Family Emergency,120,106
6/3/2013,Calgary,Family Emergency,60,43
6/4/2013,Calgary,Adult Emergency,725,624
6/4/2013,Calgary,Adult Emergency,125,125
6/4/2013,Calgary,Adult Emergency,23,12
6/4/2013,Calgary,Adult Emergency,159,159
6/4/2013,Calgary,Adult Emergency,370,361
6/4/2013,Calgary,Women Emergency,6,6
6/4/2013,Calgary,Family Emergency,120,89
6/4/2013,Calgary,Family Emergency,60,44
6/5/2013,Calgary,Adult Emergency,725,605
6/5/2013,Calgary,Adult Emergency,125,123
6/5/2013,Calgary,Adult Emergency,23,12
6/5/2013,Calgary,Adult Emergency,159,159
6/5/2013,Calgary,Adult Emergency,370,368
6/5/2013,Calgary,Women Emergency,6,6
6/5/2013,Calgary,Family Emergency,120,95
6/5/2013,Calgary,Family Emergency,60,49
6/6/2013,Calgary,Adult Emergency,725,594
6/6/2013,Calgary,Adult Emergency,125,114
6/6/2013,Calgary,Adult Emergency,23,11
6/6/2013,Calgary,Adult Emergency,159,159
6/6/2013,Calgary,Adult Emergency,370,369
6/6/2013,Calgary,Women Emergency,6,6
6/6/2013,Calgary,Family Emergency,120,98
6/6/2013,Calgary,Family Emergency,60,49
6/7/2013,Calgary,Adult Emergency,725,599
6/7/2013,Calgary,Adult Emergency,125,111
6/7/2013,Calgary,Adult Emergency,23,12
6/7/2013,Calgary,Adult Emergency,159,159
6/7/2013,Calgary,Adult Emergency,370,316
6/7/2013,Calgary,Women Emergency,6,6
6/7/2013,Calgary,Family Emergency,120,80
6/7/2013,Calgary,Family Emergency,60,49
6/8/2013,Calgary,Adult Emergency,725,578
6/8/2013,Calgary,Adult Emergency,125,120
6/8/2013,Calgary,Adult Emergency,23,11
6/8/2013,Calgary,Adult Emergency,159,159
6/8/2013,Calgary,Adult Emergency,370,335
6/8/2013,Calgary,Women Emergency,6,6
6/8/2013,Calgary,Family Emergency,120,81
6/8/2013,Calgary,Family Emergency,60,46
6/9/2013,Calgary,Adult Emergency,725,684
6/9/2013,Calgary,Adult Emergency,125,125
6/9/2013,Calgary,Adult Emergency,23,12
6/9/2013,Calgary,Adult Emergency,159,159
6/9/2013,Calgary,Adult Emergency,370,370
6/9/2013,Calgary,Women Emergency,6,6
6/9/2013,Calgary,Family Emergency,120,95
6/9/2013,Calgary,Family Emergency,60,46
6/10/2013,Calgary,Adult Emergency,725,619
6/10/2013,Calgary,Adult Emergency,125,125
6/10/2013,Calgary,Adult Emergency,23,12
6/10/2013,Calgary,Adult Emergency,159,159
6/10/2013,Calgary,Adult Emergency,370,369
6/10/2013,Calgary,Women Emergency,6,6
6/10/2013,Calgary,Family Emergency,120,105
6/10/2013,Calgary,Family Emergency,60,46
6/11/2013,Calgary,Adult Emergency,725,631
6/11/2013,Calgary,Adult Emergency,125,126
6/11/2013,Calgary,Adult Emergency,23,12
6/11/2013,Calgary,Adult Emergency,159,159
6/11/2013,Calgary,Adult Emergency,370,371
6/11/2013,Calgary,Women Emergency,6,6
6/11/2013,Calgary,Family Emergency,120,110
6/11/2013,Calgary,Family Emergency,60,46
6/12/2013,Calgary,Adult Emergency,725,640
6/12/2013,Calgary,Adult Emergency,125,126
6/12/2013,Calgary,Adult Emergency,23,12
6/12/2013,Calgary,Adult Emergency,159,159
6/12/2013,Calgary,Adult Emergency,370,369
6/12/2013,Calgary,Women Emergency,6,6
6/12/2013,Calgary,Family Emergency,120,108
6/12/2013,Calgary,Family Emergency,60,46
6/13/2013,Calgary,Adult Emergency,725,634
6/13/2013,Calgary,Adult Emergency,125,126
6/13/2013,Calgary,Adult Emergency,23,12
6/13/2013,Calgary,Adult Emergency,159,159
6/13/2013,Calgary,Adult Emergency,370,368
6/13/2013,Calgary,Women Emergency,6,6
6/13/2013,Calgary,Family Emergency,120,100
